MicrotypeID,SpeedInMetersPerSecond,VehicleSize,PerEndCost,PerMileCost,PerStartCost
A_1,1.4,0.2,0.0,0.0,0.0
A_2,1.4,0.2,0.0,0.0,0.0
A_3,1.4,0.2,0.0,0.0,0.0
A_4,1.4,0.2,0.0,0.0,0.0
A_5,1.4,0.2,0.0,0.0,0.0
A_6,1.4,0.2,0.0,0.0,0.0
B_1,1.4,0.2,0.0,0.0,0.0
B_2,1.4,0.2,0.0,0.0,0.0
B_3,1.4,0.2,0.0,0.0,0.0
B_4,1.4,0.2,0.0,0.0,0.0
B_5,1.4,0.2,0.0,0.0,0.0
B_6,1.4,0.2,0.0,0.0,0.0
C_1,1.4,0.2,0.0,0.0,0.0
C_2,1.4,0.2,0.0,0.0,0.0
C_3,1.4,0.2,0.0,0.0,0.0
C_4,1.4,0.2,0.0,0.0,0.0
C_5,1.4,0.2,0.0,0.0,0.0
C_6,1.4,0.2,0.0,0.0,0.0
D_1,1.4,0.2,0.0,0.0,0.0
D_2,1.4,0.2,0.0,0.0,0.0
D_3,1.4,0.2,0.0,0.0,0.0
D_4,1.4,0.2,0.0,0.0,0.0
D_5,1.4,0.2,0.0,0.0,0.0
D_6,1.4,0.2,0.0,0.0,0.0
E_1,1.4,0.2,0.0,0.0,0.0
E_2,1.4,0.2,0.0,0.0,0.0
E_3,1.4,0.2,0.0,0.0,0.0
E_4,1.4,0.2,0.0,0.0,0.0
E_5,1.4,0.2,0.0,0.0,0.0
E_6,1.4,0.2,0.0,0.0,0.0
F_1,1.4,0.2,0.0,0.0,0.0
F_2,1.4,0.2,0.0,0.0,0.0
F_3,1.4,0.2,0.0,0.0,0.0
F_4,1.4,0.2,0.0,0.0,0.0
F_5,1.4,0.2,0.0,0.0,0.0
F_6,1.4,0.2,0.0,0.0,0.0
