ModesAllowed,SubnetworkID,Mode
Auto-Bus-Bike-Freight,30,auto
Auto-Bus-Bike-Freight,40,bike
Auto-Bus-Bike-Freight,40,freight_single
Auto-Bus-Bike-Freight,55,bus
Auto-Bus-Bike-Freight,45,auto
Auto-Bus-Bike-Freight,45,bus
Auto-Bus-Bike-Freight,45,bike
Auto-Bus-Bike-Freight,40,bus
Auto-Bus-Bike-Freight,45,freight_combo
Auto-Bus-Bike-Freight,55,auto
Auto-Bus-Bike-Freight,50,auto
Auto-Bus-Bike-Freight,50,bus
Auto-Bus-Bike-Freight,50,bike
Auto-Bus-Bike-Freight,50,freight_combo
Auto-Bus-Bike-Freight,50,freight_single
Auto-Bus-Bike-Freight,45,freight_single
Auto-Bus-Bike-Freight,40,auto
Auto-Bus-Bike-Freight,40,freight_combo
Auto-Bus-Bike-Freight,55,freight_single
Auto-Bus-Bike-Freight,30,bus
Auto-Bus-Bike-Freight,55,freight_combo
Auto-Bus-Bike-Freight,30,bike
Auto-Bus-Bike-Freight,35,freight_single
Auto-Bus-Bike-Freight,35,freight_combo
Auto-Bus-Bike-Freight,30,freight_combo
Auto-Bus-Bike-Freight,30,freight_single
Auto-Bus-Bike-Freight,35,bike
Auto-Bus-Bike-Freight,35,bus
Auto-Bus-Bike-Freight,35,auto
Auto-Bus-Bike-Freight,55,bike
Bike,48,bike
Bike,38,bike
Bike,58,bike
Bike,43,bike
Bike,53,bike
Bike,33,bike
Bus,32,bus
Bus,47,bus
Bus,57,bus
Bus,42,bus
Bus,37,bus
Bus,52,bus
Rail,54,rail
Rail,44,rail
Rail,49,rail
Rail,39,rail
Rail,34,rail
Rail,59,rail
Walk,46,walk
Walk,41,walk
Walk,36,walk
Walk,56,walk
Walk,31,walk
Walk,51,walk
