MicrotypeID,DiameterInMiles
A_1,0.940085568155089
A_2,1.1000560111347
A_3,2.98918102776557
A_4,1.12963513799521
A_5,2.35368839892559
A_6,2.6179994106352
B_1,1.06401502301098
B_2,1.49275370474783
B_3,2.4647941467947
B_4,1.46017534411981
B_5,3.57104821390324
B_6,11.9824131686436
C_1,0.565925644813997
C_2,1.56955758062364
C_3,2.6235885097317
C_4,2.20751108337452
C_5,5.4081302345136
C_6,8.74602447777195
D_2,1.69232285374327
D_4,4.84009822277935
D_5,7.41996149132926
D_6,21.4664310855666
E_2,2.56026862982686
E_3,6.18975191585017
E_5,5.36057482757978
E_6,16.8325665230583
F_1,0.666573079677715
F_2,1.51176268964826
F_3,3.69978875516937
F_4,0.812041838768982
F_5,3.49584771264803
F_6,11.1261104976487
